Installed packages
dbus-common.noarch                                   1:1.16.0-4.fc43                     
dbus-daemon.x86_64                                   1:1.16.0-4.fc43                     
dbus-glib.x86_64                                     0.112-11.fc43                       
dbus-libs.x86_64                                     1:1.16.0-4.fc43                     
dbus-tools.x86_64                                    1:1.16.0-4.fc43                     
dbus-x11.x86_64                                      1:1.16.0-4.fc43                     
dbusmenu-qt.x86_64                                   0.9.3-0.37.20160218.fc43            
dconf.x86_64                                         0.49.0-1.fc43                       
default-editor.noarch                                8.5-2.fc43                          
default-fonts-am.noarch                              4.2-5.fc43                          
default-fonts-ar.noarch                              4.2-5.fc43                          
default-fonts-as.noarch                              4.2-5.fc43                          
default-fonts-ast.noarch                             4.2-5.fc43                          
default-fonts-be.noarch                              4.2-5.fc43                          
default-fonts-bg.noarch                              4.2-5.fc43                          
default-fonts-bn.noarch                              4.2-5.fc43                          
default-fonts-bo.noarch                              4.2-5.fc43                          
default-fonts-br.noarch                              4.2-5.fc43                          
default-fonts-chr.noarch                             4.2-5.fc43                          
default-fonts-cjk-mono.noarch                        4.2-5.fc43                          
default-fonts-cjk-sans.noarch                        4.2-5.fc43                          
default-fonts-cjk-serif.noarch                       4.2-5.fc43                          
default-fonts-core-emoji.noarch                      4.2-5.fc43                          
default-fonts-core-math.noarch                       4.2-5.fc43                          
default-fonts-core-mono.noarch                       4.2-5.fc43                          
default-fonts-core-sans.noarch                       4.2-5.fc43                          
default-fonts-core-serif.noarch                      4.2-5.fc43                          
default-fonts-dv.noarch                              4.2-5.fc43                          
default-fonts-dz.noarch                              4.2-5.fc43                          
default-fonts-el.noarch                              4.2-5.fc43                          
default-fonts-eo.noarch                              4.2-5.fc43                          
default-fonts-eu.noarch                              4.2-5.fc43                          
default-fonts-fa.noarch                              4.2-5.fc43                          
default-fonts-got.noarch                             4.2-5.fc43                          
default-fonts-gu.noarch                              4.2-5.fc43                          
default-fonts-he.noarch                              4.2-5.fc43                          
default-fonts-hi.noarch                              4.2-5.fc43                          
default-fonts-hy.noarch                              4.2-5.fc43                          
default-fonts-ia.noarch                              4.2-5.fc43                          
default-fonts-iu.noarch                              4.2-5.fc43                          
default-fonts-ka.noarch                              4.2-5.fc43                          
default-fonts-kab.noarch                             4.2-5.fc43                          
default-fonts-km.noarch                              4.2-5.fc43                          
default-fonts-kn.noarch                              4.2-5.fc43                          
default-fonts-ku.noarch                              4.2-5.fc43                          
default-fonts-lo.noarch                              4.2-5.fc43                          
default-fonts-mai.noarch                             4.2-5.fc43                          
default-fonts-ml.noarch                              4.2-5.fc43                          
default-fonts-mni.noarch                             4.2-5.fc43                          
default-fonts-mr.noarch                              4.2-5.fc43                          
default-fonts-my.noarch                              4.2-5.fc43                          
default-fonts-nb.noarch                              4.2-5.fc43                          
default-fonts-ne.noarch                              4.2-5.fc43                          
default-fonts-nn.noarch                              4.2-5.fc43                          
default-fonts-nqo.noarch                             4.2-5.fc43                          
default-fonts-nr.noarch                              4.2-5.fc43                          
default-fonts-nso.noarch                             4.2-5.fc43                          
default-fonts-or.noarch                              4.2-5.fc43                          
default-fonts-other-mono.noarch                      4.2-5.fc43                          
default-fonts-other-sans.noarch                      4.2-5.fc43                          
default-fonts-other-serif.noarch                     4.2-5.fc43                          
default-fonts-pa.noarch                              4.2-5.fc43                          
default-fonts-ru.noarch                              4.2-5.fc43                          
default-fonts-sat.noarch                             4.2-5.fc43                          
default-fonts-si.noarch                              4.2-5.fc43                          
