cups-browsed.x86_64                                  1:2.1.1-7.fc44                      
cups-client.x86_64                                   1:2.4.18-1.fc44                     
cups-filesystem.noarch                               1:2.4.18-1.fc44                     
cups-filters.x86_64                                  1:2.0.1-14.fc44                     
cups-filters-driverless.x86_64                       1:2.0.1-14.fc44                     
cups-ipptool.x86_64                                  1:2.4.18-1.fc44                     
cups-libs.x86_64                                     1:2.4.18-1.fc44                     
cups-pk-helper.x86_64                                0.2.7-12.fc44                       
curl.x86_64                                          8.18.0-6.fc44                       
cxl-libs.x86_64                                      84-1.fc44                           
cyrus-sasl-gssapi.x86_64                             2.1.28-35.fc44                      
cyrus-sasl-lib.x86_64                                2.1.28-35.fc44                      
cyrus-sasl-md5.x86_64                                2.1.28-35.fc44                      
cyrus-sasl-plain.x86_64                              2.1.28-35.fc44                      
cyrus-sasl-scram.x86_64                              2.1.28-35.fc44                      
daxctl-libs.x86_64                                   84-1.fc44                           
dbus.x86_64                                          1:1.16.2-1.fc44                     
dbus-broker.x86_64                                   37-8.fc44                           
dbus-common.noarch                                   1:1.16.2-1.fc44                     
dbus-daemon.x86_64                                   1:1.16.2-1.fc44                     
dbus-glib.x86_64                                     0.112-13.fc44                       
dbus-libs.x86_64                                     1:1.16.2-1.fc44                     
dbus-tools.x86_64                                    1:1.16.2-1.fc44                     
dbus-x11.x86_64                                      1:1.16.2-1.fc44                     
dconf.x86_64                                         0.49.0-5.fc44                       
default-editor.noarch                                8.7.1-1.fc44                        
default-fonts-am.noarch                              4.3-1.fc44                          
default-fonts-ar.noarch                              4.3-1.fc44                          
default-fonts-as.noarch                              4.3-1.fc44                          
default-fonts-ast.noarch                             4.3-1.fc44                          
default-fonts-be.noarch                              4.3-1.fc44                          
default-fonts-bg.noarch                              4.3-1.fc44                          
default-fonts-bn.noarch                              4.3-1.fc44                          
default-fonts-bo.noarch                              4.3-1.fc44                          
default-fonts-br.noarch                              4.3-1.fc44                          
default-fonts-chr.noarch                             4.3-1.fc44                          
default-fonts-cjk-mono.noarch                        4.3-1.fc44                          
default-fonts-cjk-sans.noarch                        4.3-1.fc44                          
default-fonts-cjk-serif.noarch                       4.3-1.fc44                          
default-fonts-core-emoji.noarch                      4.3-1.fc44                          
default-fonts-core-math.noarch                       4.3-1.fc44                          
default-fonts-core-mono.noarch                       4.3-1.fc44                          
default-fonts-core-sans.noarch                       4.3-1.fc44                          
