adobe-source-code-pro-fonts.noarch                   2.042.1.062.1.026-9.fc44            
python3-roman-numerals-py.noarch                     3.1.0-6.fc44                        
python3-scipy.x86_64                                 1.16.2-3.fc44                       
python3-snowballstemmer.noarch                       3.0.1-11.fc44                       
python3-sphinxcontrib-devhelp.noarch                 2.0.0-7.fc44                        
python3-sphinxcontrib-htmlhelp.noarch                2.1.0-7.fc44                        
python3-sphinxcontrib-jquery.noarch                  4.1-15.fc44                         
python3-sphinxcontrib-qthelp.noarch                  2.0.0-7.fc44                        
python3-sphinxcontrib-serializinghtml.noarch         2.0.0-8.fc44                        
python3-sphinx.noarch                                1:8.2.3-19.fc44                     
python3-sphinx_rtd_theme.noarch                      3.1.0-2.fc44                        
python3-sphinx-theme-alabaster.noarch                0.7.16-12.fc44                      
python3-sympy.noarch                                 1.14.0-11.fc44                      
python3-tkinter.x86_64                               3.14.4-2.fc44                       
python-breathe-doc.noarch                            4.36.0-6.fc44                       
python-sphinx_rtd_theme-doc.noarch                   3.1.0-2.fc44                        
qhull-devel.x86_64                                   1:8.0.2-8.fc44                      
qhull.x86_64                                         1:8.0.2-8.fc44                      
qscintilla-qt6-devel.x86_64                          2.14.1-7.fc44                       
qscintilla-qt6.x86_64                                2.14.1-7.fc44                       
qt6-designer.x86_64                                  6.10.3-2.fc44                       
qt6-doctools.x86_64                                  6.10.3-2.fc44                       
qt6-linguist.x86_64                                  6.10.3-2.fc44                       
qt6-qt5compat-devel.x86_64                           6.10.3-1.fc44                       
qt6-qt5compat.x86_64                                 6.10.3-1.fc44                       
qt6-qtbase-devel.x86_64                              6.10.3-1.fc44                       
qt6-qtbase-ibase.x86_64                              6.10.3-1.fc44                       
qt6-qtbase-mysql.x86_64                              6.10.3-1.fc44                       
qt6-qtbase-odbc.x86_64                               6.10.3-1.fc44                       
qt6-qtbase-postgresql.x86_64                         6.10.3-1.fc44                       
qt6-qtshadertools.x86_64                             6.10.3-1.fc44                       
qt6-qttools-common.noarch                            6.10.3-2.fc44                       
qt6-qttools-devel.x86_64                             6.10.3-2.fc44                       
qt6-qttools-libs-designercomponents.x86_64           6.10.3-2.fc44                       
qt6-qttools-libs-designer.x86_64                     6.10.3-2.fc44                       
qt6-qttools-libs-help.x86_64                         6.10.3-2.fc44                       
qt6-qttools.x86_64                                   6.10.3-2.fc44                       
qt6-rpm-macros.noarch                                6.10.3-1.fc44                       
rapidjson-devel.x86_64                               1.1.0^20241222git24b5e7a-4.fc44     
readline-devel.x86_64                                8.3-4.fc44                          
redhat-display-fonts.noarch                          4.1.0-3.fc44                        
redhat-text-fonts.noarch                             4.1.0-3.fc44                        
rhash.x86_64                                         1.4.5-4.fc44                        
rlwrap.x86_64                                        0.47.1-2.fc44                       
ruby-bundled-gems.x86_64                             4.0.1-32.fc44                       
ruby-default-gems.noarch                             4.0.1-32.fc44                       
rubygem-bigdecimal.x86_64                            4.0.1-32.fc44                       
rubygem-bundler.noarch                               4.0.3-32.fc44                       
rubygem-io-console.x86_64                            0.8.2-32.fc44                       
rubygem-irb.noarch                                   1.16.0-32.fc44                      
rubygem-json.x86_64                                  2.19.4-1.fc44                       
rubygem-psych.x86_64                                 5.3.1-32.fc44                       
rubygem-rbs.x86_64                                   3.10.0-32.fc44                      
rubygem-rdoc.noarch                                  7.0.3-201.fc44                      
rubygems.noarch                                      4.0.6-1.fc44                        
ruby-libs.x86_64                                     4.0.1-32.fc44                       
rubypick.noarch                                      1.1.1-24.fc44                       
ruby.x86_64                                          4.0.1-32.fc44                       
sharutils.x86_64                                     4.15.2-31.fc44                      
spdlog.x86_64                                        1.15.3-4.fc44                       
sphinx-php.x86_64                                    2.2.11-35.fc44                      
sphinx.x86_64                                        2.2.11-35.fc44                      
sysprof-capture-devel.x86_64                         50.0-1.fc44                         
teckit.x86_64                                        2.5.13-2.fc44                       
texinfo-tex.x86_64                                   7.2-9.fc44                          
texinfo.x86_64                                       7.2-9.fc44                          
texlive-aboensis.noarch                              12:svn77677-4.fc44                  
texlive-academicons.noarch                           12:svn77677-4.fc44                  
texlive-accanthis.noarch                             12:svn77677-4.fc44                  
texlive-accsupp.noarch                               12:svn53052-4.fc44                  
texlive-adforn.noarch                                12:svn77677-4.fc44                  
texlive-adfsymbols.noarch                            12:svn77677-4.fc44                  
texlive-adjustbox.noarch                             12:svn78101-4.fc44                  
texlive-ae.noarch                                    12:svn15878-3.fc44                  
texlive-aesupp.noarch                                12:svn58253-4.fc44                  
texlive-alegreya.noarch                              12:svn77677-4.fc44                  
texlive-alfaslabone.noarch                           12:svn77677-4.fc44                  
texlive-algolrevived.noarch                          12:svn77677-4.fc44                  
texlive-algorithmicx.noarch                          12:svn15878-1.fc44                  
texlive-algorithms.noarch                            12:svn76389-1.fc44                  
texlive-allrunes.noarch                              12:svn42221-4.fc44                  
texlive-almendra.noarch                              12:svn77677-4.fc44                  
texlive-almfixed.noarch                              12:svn35065-4.fc44                  
texlive-amscls.noarch                                12:svn77677-3.fc44                  
texlive-amsfonts.noarch                              12:svn77677-9.fc44                  
texlive-amsmath.noarch                               12:svn77677-3.fc44                  
texlive-andika.noarch                                12:svn77677-4.fc44                  
texlive-anonymouspro.noarch                          12:svn51631-4.fc44                  
texlive-antiqua.noarch                               12:svn24266-4.fc44                  
texlive-antt.noarch                                  12:svn77677-4.fc44                  
texlive-anysize.noarch                               12:svn15878-2.fc44                  
texlive-appendix.noarch                              12:svn78101-4.fc44                  
texlive-archaic.noarch                               12:svn38005-4.fc44                  
texlive-archivo.noarch                               12:svn57283-4.fc44                  
texlive-arev.noarch                                  12:svn77677-4.fc44                  
texlive-arimo.noarch                                 12:svn77677-4.fc44                  
texlive-arsenal-math.noarch                          12:svn77677-4.fc44                  
texlive-arsenal.noarch                               12:svn77677-4.fc44                  
texlive-arvo.noarch                                  12:svn57213-4.fc44                  
texlive-arydshln.noarch                              12:svn77682-4.fc44                  
texlive-asana-math.noarch                            12:svn76895-4.fc44                  
texlive-asapsym.noarch                               12:svn40201-4.fc44                  
texlive-ascii-font.noarch                            12:svn77677-4.fc44                  
texlive-aspectratio.noarch                           12:svn25243-4.fc44                  
texlive-astro.noarch                                 12:svn15878-4.fc44                  
texlive-atbegshi.noarch                              12:svn77677-3.fc44                  
texlive-atkinson.noarch                              12:svn77677-4.fc44                  
texlive-attachfile2.noarch                           12:svn77682-109.fc44                
texlive-attachfile.noarch                            12:svn77682-4.fc44                  
texlive-atveryend.noarch                             12:svn77677-3.fc44                  
texlive-augie.noarch                                 12:svn61719-4.fc44                  
texlive-auncial-new.noarch                           12:svn62977-4.fc44                  
texlive-aurical.noarch                               12:svn77677-4.fc44                  
texlive-auxhook.noarch                               12:svn77677-3.fc44                  
texlive-avantgar.noarch                              12:svn77161-6.fc44                  
texlive-b1encoding.noarch                            12:svn21271-4.fc44                  
texlive-babelbib.noarch                              12:svn76790-3.fc44                  
texlive-babel-english.noarch                         12:svn77677-3.fc44                  
texlive-babel.noarch                                 12:svn77491-3.fc44                  
texlive-bahaistar.noarch                             12:svn76351-4.fc44                  
texlive-barcodes.noarch                              12:svn15878-4.fc44                  
texlive-base.x86_64                                  12:20260301-109.fc44                
texlive-baskervaldadf.noarch                         12:svn77677-4.fc44                  
texlive-baskervaldx.noarch                           12:svn73362-4.fc44                  
texlive-baskervillef.noarch                          12:svn77677-4.fc44                  
texlive-bbding.noarch                                12:svn77677-4.fc44                  
texlive-bbm-macros.noarch                            12:svn17224-4.fc44                  
texlive-bbm.noarch                                   12:svn77677-4.fc44                  
texlive-bbold.noarch                                 12:svn77677-4.fc44                  
texlive-bbold-type1.noarch                           12:svn33143-4.fc44                  
texlive-bboldx.noarch                                12:svn77677-4.fc44                  
texlive-beamer.noarch                                12:svn77450-2.fc44                  
texlive-belleek.noarch                               12:svn66115-4.fc44                  
texlive-bera.noarch                                  12:svn77677-4.fc44                  
texlive-berenisadf.noarch                            12:svn77677-4.fc44                  
texlive-beton.noarch                                 12:svn77682-4.fc44                  
texlive-beuron.noarch                                12:svn46374-4.fc44                  
texlive-bguq.noarch                                  12:svn27401-4.fc44                  
texlive-bibtex.x86_64                                12:svn77830-109.fc44                
texlive-bidi.noarch                                  12:svn77677-3.fc44                  
texlive-bigfoot.noarch                               12:svn77682-4.fc44                  
texlive-bigintcalc.noarch                            12:svn77677-3.fc44                  
texlive-bitset.noarch                                12:svn77677-3.fc44                  
texlive-bitter.noarch                                12:svn77677-4.fc44                  
texlive-blacklettert1.noarch                         12:svn15878-4.fc44                  
texlive-boisik.noarch                                12:svn15878-4.fc44                  
texlive-bonum-otf.noarch                             12:svn77677-4.fc44                  
texlive-bookhands.noarch                             12:svn76790-4.fc44                  
texlive-bookman.noarch                               12:svn77161-6.fc44                  
texlive-bookmark.noarch                              12:svn77677-3.fc44                  
texlive-booktabs.noarch                              12:svn53402-2.fc44                  
texlive-boondox.noarch                               12:svn77677-4.fc44                  
texlive-braille.noarch                               12:svn20655-4.fc44                  
texlive-breqn.noarch                                 12:svn60881-2.fc44                  
texlive-brushscr.noarch                              12:svn28363-4.fc44                  
texlive-cabin.noarch                                 12:svn77677-4.fc44                  
texlive-caladea.noarch                               12:svn77677-4.fc44                  
texlive-calculator.noarch                            12:svn77682-4.fc44                  
texlive-calligra.noarch                              12:svn15878-4.fc44                  
texlive-calligra-type1.noarch                        12:svn24302-4.fc44                  
